id,name,img_url,brand_id,cat_id,sub_id
48,Yerba ARMIÑO Suave 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P276610-1.jpg,99,1,3
49,Yerba ARMIÑO Compuesta 1 Kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P129497-1.jpg,99,1,3
50,Choclo en crema RIO DE LA PLATA 410 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P004580-1.jpg,1777,1,1
51,Dueto arveja + choclo RIO DE LA PLATA 300 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P214824-1.jpg,1777,1,1
52,Pulpa de tomate GOURMET 1.03 kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P020516-1.jpg,921,1,1
53,Pulpa de tomate GOURMET concentrada sin sal 204 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P405631-1.jpg,921,1,1
54,Pulpa de tomate GOURMET sin sal 1.03 kg,https://images-ti-vm1.tiendainglesa.com.uy/small/P142908-1.jpg,921,1,1
55,Pulpa de tomate GOURMET 206 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P405626-1.jpg,921,1,1
56,Papel higiénico ELITE Doble Hoja 30 metros 4 un.,https://images-ti-vm1.tiendainglesa.com.uy/small/P053749-1.jpg,714,4,17
57,Papel higiénico ELITE húmedo 40 un.,https://images-ti-vm1.tiendainglesa.com.uy/small/P072887-1.jpg,714,4,17
58,Papel higiénico HIGIENOL doble Hoja duo 50 m x 4 un.,https://images-ti-vm1.tiendainglesa.com.uy/small/P057622-1.jpg,986,4,17
59,Papel higiénico HIGIENOL premiun doble Hoja 8x6,https://images-ti-vm1.tiendainglesa.com.uy/small/P081797-1.jpg,986,4,17
60,Papel higiénico HIGIENOL max 100 mt x4,https://images-ti-vm1.tiendainglesa.com.uy/small/P092981-1.jpg,986,4,17
61,Papel higiénico HIGIENOL Max Plus x 8 100 m,https://images-ti-vm1.tiendainglesa.com.uy/small/P092984-1.jpg,986,4,17
62,Papel higiénico HIGIENOL sin Fin Plus 50 metros 4 un.,https://images-ti-vm1.tiendainglesa.com.uy/small/P053767-1.jpg,986,4,17
63,Fideos ADRIA tirabuzón multicolor 500 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P039591-1.jpg,29,1,1
64,Fideos ADRIA moñitas multicolor,https://images-ti-vm1.tiendainglesa.com.uy/small/P175232-1.jpg,29,1,1
65,Fideos al huevo ADRIA vermichelli 500 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P040403-1.jpg,29,1,1
66,Fideos al huevo ADRIA ave maría 500 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P235134-1.jpg,29,1,1
67,Cerveza ZILLERTAL 473 cc,https://images-ti-vm1.tiendainglesa.com.uy/small/P424739-1.jpg,2258,2,5
68,Cerveza ZILLERTAL 970 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P082411-1.jpg,2258,2,5
69,Cerveza ZILLERTAL Apa 473 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P510810-1.jpg,2258,2,5
70,Cerveza ZILLERTAL Scotish 473 ml,https://images-ti-vm1.tiendainglesa.com.uy/small/P525771-1.jpg,2258,2,5
71,Whisky Escocés 100 PIPERS 1 L,https://images-ti-vm1.tiendainglesa.com.uy/small/P388964-1.jpg,23,3,14
72,Yogur ACTIVIA ciruela 170 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P402796-2.jpg,23,3,14
73,Margarina ADORITA 250 g,https://images-ti-vm1.tiendainglesa.com.uy/small/P493118-1.jpg,28,3,14
74,Jugo ADES Durazno 1 L,https://images-ti-vm1.tiendainglesa.com.uy/small/P002494-2.jpg,25,2,7
