ID,Title,Title_URL,Image,Brand,Price,Label
,Pepinillos Cornich Paulsen 330 G,https://www.tata.com.uy/pepinillos-cornich-paulsen-330-g/p,,PAULSEN,"$254,00",
,Chiles Jalapeños Picados La Costeña 220 G,https://www.tata.com.uy/chiles-jalape-os-picados-la-coste-a-220-g/p,,La Costeña,"$89,00",
,Hongos En Vinagre Del Gaucho Frasco 350 G,https://www.tata.com.uy/hongos-en-vinagre-del-gaucho-frasco-350-g/p,,DEL GAUCHO,"$186,00",
,Pimientos Del Piquillo Cidacos 340 G,https://www.tata.com.uy/pimientos-del-piquillo-cidacos-340-g/p,,CIDACOS,"$209,00",
,Aceitunas Rellenas Jamon Cru Serpis 235 G,https://www.tata.com.uy/aceitunas-rellenas-jamon-cru-serpis-235-g/p,,SERPIS,"$187,00",
,Aceitunas Rellenas De Queso Azul Serpis 235 G,https://www.tata.com.uy/aceitunas-rellenas-de-queso-azul-serpis-235-g/p,,SERPIS,"$174,00",
,Mixed Pickles Del Gaucho 660 G,https://www.tata.com.uy/mixed-pickles-del-gaucho-660-g/p,,DEL GAUCHO,"$250,00",
,Chucrut Deustcher 680 G,https://www.tata.com.uy/chucrut-deustcher-680-g/p,,Otras Marcas,"$275,00",
,Hongos En Vinagre Del Gaucho 660 G,https://www.tata.com.uy/hongos-en-vinagre-del-gaucho-660-g/p,,DEL GAUCHO,"$289,00",
,Chiles Chipotles Adobados La Costeña 220 G,https://www.tata.com.uy/chiles-chipotles-adobados-la-coste-a-220-g/p,,La Costeña,"$148,00",
,Pickles Mixed Del Gaucho Frasco 350 G,https://www.tata.com.uy/pickles-mixed-del-gaucho-frasco-350-g/p,,DEL GAUCHO,"$182,00",
,Choclitos Paulsen 330 G,https://www.tata.com.uy/choclitos-paulsen-330-g/p,https://tatauy.vteximg.com.br/arquivos/ids/179378-600-600/Choclitos-Paulsen-33000-G-1-3257.jpg?v=637251212347530000,PAULSEN,"$249,00",
